데이터,라벨,1 평어,2 왕,3 신하
보좌하겠는가,,,,
전한다,,,,
하였습니다,,,,
1,,,,
많았습니다,,,,
정하였습니다,,,,
하였습니다,,,,
같습니다,,,,
따랐습니다,,,,
보전했습니다,,,,
전하겠습니다,,,,
대단했습니다,,,,
되었습니다,,,,
누리겠습니다,,,,
됩니다,,,,
되었습니다,,,,
필적(匹敵)하겠습니다,,,,
하였다,,,,
바치었다,,,,
"""1",,,,
납씨곡(納氏曲),,,,
쳐들어왔습니다,,,,
없었습니다,,,,
부딪쳤습니다,,,,
미쳤습니다,,,,
달려갔습니다,,,,
만했습니다,,,,
없었습니다,,,,
전하겠습니다,,,,
것임,,,,
1,,,,
궁수분곡(窮獸奔曲),,,,
갈라졌습니다,,,,
숨었습니다,,,,
빼앗겼습니다,,,,
청명(淸明)하여졌습니다,,,,
편안하여졌습니다,,,,
것임,,,,
1,,,,
정동방곡(靖東方曲),,,,
아아,,,,
도적질했습니다,,,,
누구인가,,,,
죽였습니다,,,,
하였습니다,,,,
전하겠습니다,,,,
것임,,,,
"""",,,,
내리었다,,,,
것이다,,,,
거행하라,,,,
"""",,,,
아뢰었다,,,,
합니다,,,,
하였습니다,,,,
"""",,,,
내리었다,,,,
만하다,,,,
거행하라,,,,
"""",,,,
내리었다,,,,
있겠는가,,,,
거행하라,,,,
"""",,,,
청하였다,,,,
가시오,,,,
"""",,,,
상서(上書)하였다,,,,
되었습니다,,,,
하소서,,,,
하였다,,,,
내리었다,,,,
방법이다,,,,
일컬었다,,,,
훼방하겠는가,,,,
않는다,,,,
하겠는가,,,,
만하다,,,,
거행하라,,,,
"""",,,,
돌아왔다,,,,
되었다,,,,
왔다,,,,
명령하였다,,,,
하라,,,,
"""",,,,
내리었다,,,,
않다,,,,
거행하라,,,,
"""",,,,
내리었다,,,,
하라,,,,
"""",,,,
내리었다,,,,
거행하라,,,,
"""",,,,
보냈다,,,,
보냈다,,,,
없다,,,,
없었습니다,,,,
했습니다,,,,
있겠습니까,,,,
아닙니다,,,,
보냅니다,,,,
"""",,,,
상서(上書)하였다,,,,
하소서,,,,
아니하였다,,,,
전송하였다,,,,
하였다,,,,
한다,,,,
됩니다,,,,
간절합니다,,,,
못했습니다,,,,
제거하였습니다,,,,
바입니다,,,,
축원하겠습니다,,,,
"""",,,,
아뢰었다,,,,
염려합니다,,,,
이유인가,,,,
없습니다,,,,
것입니다,,,,
주었다,,,,
하였다,,,,
이러하였다,,,,
힘입었다,,,,
하라,,,,
없었습니다,,,,
된다,,,,
되었습니다,,,,
포학하였습니다,,,,
되었습니다,,,,
사양했습니다,,,,
삼았습니다,,,,
생각하였습니다,,,,
사랑하였습니다,,,,
모함(謀陷)하였습니다,,,,
없었습니다,,,,
되었습니다,,,,
기뻐하였습니다,,,,
명령이다,,,,
하였습니다,,,,
고치는가,,,,
보고하라,,,,
하라,,,,
하였습니다,,,,
것입니다,,,,
황고조(皇高祖)입니다,,,,
하였습니다,,,,
하였습니다,,,,
하였습니다,,,,
되었습니다,,,,
46세였습니다,,,,
하였습니다,,,,
지극하였습니다,,,,
시집갔습니다,,,,
하였습니다,,,,
어립니다,,,,
봉해졌습니다,,,,
장가갔습니다,,,,
없었습니다,,,,
것입니다,,,,
융성(隆盛)하겠습니다,,,,
아아,,,,
일이로다,,,,
깊었습니다,,,,
이르렀습니다,,,,
차지하였습니다,,,,
않았습니다,,,,
선포하였습니다,,,,
하였습니다,,,,
것이다,,,,
않겠는가,,,,
하였습니다,,,,
존속하겠습니다,,,,
경사입니다,,,,
아니옵니다,,,,
것입니다,,,,
"""",,,,
하였다,,,,
이러하였다,,,,
없습니다,,,,
되었습니다,,,,
돌아왔습니다,,,,
바랐습니다,,,,
한다,,,,
되었습니다,,,,
하였습니다,,,,
하소서,,,,
"""",,,,
아뢰었다,,,,
조회하라,,,,
하였습니다,,,,
"""",,,,
상언(上言)하였다,,,,
터이다,,,,
땅이라,,,,
이행(移幸)하소서,,,,
하였다,,,,
이러하였다,,,,
회답합니다,,,,
됩니다,,,,
지극하오,,,,
일입니다,,,,
아니리오,,,,
바라오,,,,
"""",,,,
상소하였다,,,,
마소서,,,,
"""",,,,
말하였다,,,,
합니다,,,,
요점입니다,,,,
없습니다,,,,
열거합니다,,,,
1,,,,
것입니다,,,,
것,,,,
1,,,,
것,,,,
1,,,,
한다,,,,
올린다,,,,
것,,,,
1,,,,
것,,,,
1,,,,
것,,,,
1,,,,
준다,,,,
하소서,,,,
하였다,,,,
돌아왔다,,,,
왔다,,,,
보냈다,,,,
전송하였다,,,,
위함이라,,,,
하더라,,,,
황제,,,,
있었다,,,,
깨끗하였다,,,,
달려갔다,,,,
지나갔다,,,,
물었다,,,,
누구냐,,,,
대답하였다,,,,
없습니다,,,,
"""",,,,
장신(狀申)하였다,,,,
것입니다,,,,
것입니다,,,,
하겠습니다,,,,
것입니다,,,,
하소서,,,,
따랐다,,,,
하였다,,,,
말하였다,,,,
것이다,,,,
못하다,,,,
말했다,,,,
말하였다,,,,
말했습니다,,,,
말하였다,,,,
사람들이다,,,,
누구냐,,,,
것이다,,,,
하였다,,,,
이러하였다,,,,
여깁니다,,,,
바입니다,,,,
빌겠나이다,,,,
"""",,,,
아뢰었다,,,,
하소서,,,,
따랐다,,,,
하였다,,,,
아뢰었다,,,,
쓰겠습니까,,,,
하소서,,,,
따랐다,,,,
말하였다,,,,
건너겠습니까,,,,
중지하였다,,,,
끼었다,,,,
메웠다,,,,
아뢰었다,,,,
없겠습니까,,,,
굽어살피소서,,,,
중지하였다,,,,
상소하였다,,,,
것입니다,,,,
것입니다,,,,
있습니다,,,,
것입니다,,,,
같겠습니까,,,,
것입니다,,,,
윤허하였다,,,,
이러하였다,,,,
고하나이다,,,,
것입니다,,,,
것입니다,,,,
정하라,,,,
것이라,,,,
하였습니다,,,,
누리겠나이다,,,,
이러하였다,,,,
이르노라,,,,
물귀신이여,,,,
하였다,,,,
때문이다,,,,
3년이라,,,,
가지리라,,,,
바이다,,,,
"""",,,,
전지(傳旨)하였다,,,,
하라,,,,
"""",,,,
맞이하였다,,,,
이러하였다,,,,
이르렀다,,,,
것이다,,,,
되었다,,,,
일이다,,,,
한다,,,,
받았다,,,,
한다,,,,
사실이다,,,,
것이다,,,,
"""",,,,
명령하였다,,,,
옳겠는가,,,,
것이다,,,,
"""",,,,
가두었다,,,,
자백[伏罪]하였다,,,,
낫겠는가,,,,
사람인가,,,,
하였습니다,,,,
하였다,,,,
거둥하였다,,,,
이러하였다,,,,
납니다,,,,
없었습니다,,,,
않겠습니까,,,,
없다,,,,
하였습니다,,,,
아닙니다,,,,
은혜이옵니다,,,,
준수(遵守)하겠습니다,,,,
축원하겠습니다,,,,
"""",,,,
개유(開諭)하였다,,,,
어찌했겠는가,,,,
것이다,,,,
것이다,,,,
있어서랴,,,,
말라,,,,
"""",,,,
청하였다,,,,
없겠습니다,,,,
처단하소서,,,,
말하였다,,,,
도모했겠는가,,,,
없다,,,,
귀양보내었다,,,,
상서(上書)하였다,,,,
상전(常典)입니다,,,,
있습니다,,,,
계책이라,,,,
하였습니다,,,,
없습니다,,,,
있습니다,,,,
것입니다,,,,
것입니다,,,,
아니겠습니까,,,,
것입니다,,,,
것입니다,,,,
있겠습니까,,,,
있습니다,,,,
옳겠습니다,,,,
하였다,,,,
아뢰었다,,,,
옮기소서,,,,
것입니다,,,,
방비하소서,,,,
하였다,,,,
못하겠는가,,,,
하라,,,,
명령하였다,,,,
하라,,,,
"""",,,,
명령하였다,,,,
말라,,,,
"""",,,,
당하였다,,,,
어떻겠는가,,,,
제거하겠는가,,,,
하였다,,,,
것이었다,,,,
장계(狀啓)하였다,,,,
하소서,,,,
하였다,,,,
전송하였다,,,,
이러하였다,,,,
않는가,,,,
있다,,,,
않았었다,,,,
있겠는가,,,,
것이다,,,,
일으키겠습니까,,,,
행하겠습니까,,,,
없습니다,,,,
고조(高祖)였습니다,,,,
않았습니다,,,,
왔습니다,,,,
못하였습니다,,,,
취(取)하였습니다,,,,
공격하였습니다,,,,
당했습니다,,,,
당하였습니다,,,,
얻었습니다,,,,
명백합니다,,,,
용서하겠습니까,,,,
초래하겠습니까,,,,
것입니다,,,,
주문(奏聞)합니다,,,,
있다,,,,
됩니다,,,,
있었겠습니까,,,,
있다,,,,
것입니다,,,,
것인가,,,,
없다,,,,
했습니다,,,,
떠났습니다,,,,
매매(賣買)합니다,,,,
살상(殺傷)하였다,,,,
되었다,,,,
하였습니다,,,,
살상(殺傷)하였겠습니까,,,,
있겠습니까,,,,
일입니다,,,,
생각됩니다,,,,
어렵겠습니다,,,,
것입니다,,,,
같겠는가,,,,
업신여기겠습니까,,,,
없다,,,,
징조이다,,,,
하라,,,,
없었습니다,,,,
된다,,,,
제폐하라,,,,
하였다,,,,
알았습니다,,,,
것이겠습니까,,,,
것이다,,,,
있겠는가,,,,
아닙니다,,,,
"""",,,,
상언(上言)하였다,,,,
의리입니다,,,,
없습니다,,,,
여기옵니다,,,,
다행이옵니까,,,,
꾀한다,,,,
것입니다,,,,
것입니다,,,,
다행하겠습니다,,,,
아니하였다,,,,
아뢰었다,,,,
것입니다,,,,
유시(諭示)하였다,,,,
하라,,,,
않는가,,,,
하는가,,,,
대답하였다,,,,
때문입니다,,,,
"""",,,,
아뢰었다,,,,
없습니다,,,,
것입니다,,,,
부합(符合)합니다,,,,
말하였다,,,,
한다,,,,
"""",,,,
청하였다,,,,
때문이옵니다,,,,
범하였다,,,,
하소서,,,,
아니하였다,,,,
상언(上言)하였다,,,,
없습니다,,,,
때문입니다,,,,
이유입니까,,,,
격언입니다,,,,
덕이옵니다,,,,
정리(定理)입니다,,,,
것입니다,,,,
때문입니다,,,,
사람들입니다,,,,
것입니다,,,,
있습니다,,,,
있었겠습니까,,,,
까닭입니다,,,,
바입니다,,,,
하소서,,,,
아니하였다,,,,
된다,,,,
돌아가라,,,,
않겠다,,,,
주었다,,,,
보았다,,,,
것입니다,,,,
명운(命運)이다,,,,
하였습니다,,,,
하였다,,,,
좋습니다,,,,
명운입니다,,,,
하였습니다,,,,
하였다,,,,
명운입니다,,,,
하였습니다,,,,
하였다,,,,
만합니다,,,,
좋습니다,,,,
두었습니다,,,,
하였다,,,,
보고하였다,,,,
잡았습니다,,,,
주었다,,,,
상서(上書)하였다,,,,
없습니다,,,,
것입니다,,,,
있습니다,,,,
있습니다,,,,
하였습니다,,,,
바입니다,,,,
것입니다,,,,
때문입니다,,,,
것입니다,,,,
같습니다,,,,
올립니다,,,,
1,,,,
1,,,,
1,,,,
것입니다,,,,
증거입니다,,,,
1,,,,
같습니다,,,,
것입니다,,,,
1,,,,
아닙니다,,,,
1,,,,
1,,,,
1,,,,
계책이었습니다,,,,
것입니다,,,,
따랐다,,,,
명운(命運)이다,,,,
합디다,,,,
말하였습니다,,,,
말하였다,,,,
있겠는가,,,,
쇠진하였습니다,,,,
어떠한가,,,,
천박(淺薄)합니다,,,,
하였습니다,,,,
어떠한가,,,,
것입니다,,,,
어떠한가,,,,
것입니다,,,,
하였습니다,,,,
"""",,,,
상언(上言)하였다,,,,
없습니다,,,,
말하였다,,,,
그럴듯하다,,,,
있겠는가,,,,
"""",,,,
내리었다,,,,
여기었다,,,,
생각하였다,,,,
없다,,,,
여긴다,,,,
하라,,,,
"""",,,,
명령하였다,,,,
것이다,,,,
"""",,,,
올리었다,,,,
상심(傷心)했습니다,,,,
죄입니다,,,,
됩니다,,,,
엄격했습니다,,,,
염려됩니다,,,,
없습니다,,,,
하소서,,,,
살피소서,,,,
하였다,,,,
상언(上言)하였다,,,,
하시오,,,,
인정하였습니다,,,,
하소서,,,,
따랐다,,,,
말하였다,,,,
것이다,,,,
명령하였다,,,,
것이다,,,,
어떻겠는가,,,,
하소서,,,,
여기었다,,,,
보고하였다,,,,
죽였습니다,,,,
주었다,,,,
말하였다,,,,
마시오,,,,
꾀합니다,,,,
하였습니다,,,,
말하였다,,,,
하던가,,,,
‘액운(厄運)이라,,,,
하던가,,,,
쇠진하다,,,,
오라,,,,
쇠진하다,,,,
하였습니다,,,,
"""",,,,
장계(狀啓)하였다,,,,
하소서,,,,
따랐다,,,,
없습니다,,,,
않겠는가,,,,
말하였다,,,,
말라,,,,
것이다,,,,
"""",,,,
졸(卒)하였다,,,,
아들이다,,,,
되었다,,,,
번창하겠구나,,,,
천직(遷職)되었다,,,,
되었다,,,,
흩어졌다,,,,
되었다,,,,
제사지내었다,,,,
되었다,,,,
이르렀다,,,,
하였다,,,,
보전하였다,,,,
없었다,,,,
삼았다,,,,
71세였다,,,,
내리었다,,,,
이르렀다,,,,
보고하였다,,,,
돌아갔습니다,,,,
"""",,,,
상언(上言)하였다,,,,
하소서,,,,
따랐다,,,,
고하였다,,,,
한다,,,,
합니다,,,,
들었습니다,,,,
가두었다,,,,
고하였다,,,,
없습니다,,,,
말하였다,,,,
아니다,,,,
어찌하겠는가,,,,
없음에랴,,,,
있겠는가,,,,
하겠는가,,,,
뿐이다,,,,
"""",,,,
보냈다,,,,
아뢰었다,,,,
청합니다,,,,
말하였다,,,,
있겠는가,,,,
"""",,,,
장계(狀啓)하였다,,,,
하소서,,,,
따랐다,,,,
계(啓)하였다,,,,
하소서,,,,
따랐다,,,,
상소하였다,,,,
당했사옵니다,,,,
없습니다,,,,
일으켰습니다,,,,
두렵습니다,,,,
세운다,,,,
다행하겠습니다,,,,
하는가,,,,
두었다,,,,
아뢰었다,,,,
쓰겠습니까,,,,
하소서,,,,
많아졌습니다,,,,
하소서,,,,
하소서,,,,
따랐다,,,,
아뢰었다,,,,
원하옵니다,,,,
말하였다,,,,
이유인가,,,,
되었다,,,,
명하였다,,,,
하라,,,,
없다,,,,
계문(啓聞)하라,,,,
하소서,,,,
하였다,,,,
것입니다,,,,
전지(傳旨)하였다,,,,
사유(赦宥)한다,,,,
보내었다,,,,
전지하였다,,,,
운수이요,,,,
아시오,,,,
교살하였다,,,,
말하였다,,,,
말라,,,,
"""",,,,
상언(上言)하였다,,,,
말라,,,,
때문입니다,,,,
것입니다,,,,
의논하소서,,,,
받아들였다,,,,
들어왔다,,,,
이러하였다,,,,
하였습니다,,,,
하라,,,,
하였습니다,,,,
것입니다,,,,
13명입니다,,,,
엄인(閹人)이었다,,,,
상서(上書)하였다,,,,
것입니다,,,,
것입니다,,,,
하였다,,,,
전하였다,,,,
합니다,,,,
받았다,,,,
이러하였다,,,,
하였습니다,,,,
하라,,,,
것입니다,,,,
베풀었다,,,,
이었다,,,,
아뢰었다,,,,
어렵겠습니다,,,,
아니다,,,,
하였다,,,,
하였다,,,,
이러하였다,,,,
왔다,,,,
잡아갔습니다,,,,
것입니다,,,,
하소서,,,,
"""",,,,
바치었다,,,,
전송하였다,,,,
이유인가,,,,
죽겠다,,,,
피하였다,,,,
있겠습니까,,,,
그치었다,,,,
하였다,,,,
여기었다,,,,
상언(上言)하였다,,,,
하소서,,,,
것입니다,,,,
하소서,,,,
따랐다,,,,
돌아갔다,,,,
말하였다,,,,
한다,,,,
것이다,,,,
요새지이다,,,,
같다,,,,
고하라,,,,
것이다,,,,
없습니다,,,,
했습니다,,,,
피난왔습니다,,,,
당했습니다,,,,
것입니다,,,,
아닙니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
않았겠습니까,,,,
여기소서,,,,
"""",,,,
상언(上言)하였다,,,,
청합니다,,,,
말하였다,,,,
하라,,,,
"""",,,,
간통했다,,,,
달아났다,,,,
분부하였다,,,,
주리라,,,,
아뢰었다,,,,
하시겠습니까,,,,
말하였다,,,,
주리라,,,,
말하였다,,,,
것입니다,,,,
찾습니까,,,,
"""",,,,
일렀다,,,,
없다,,,,
대답하였다,,,,
사양하겠습니까,,,,
말하였다,,,,
있겠는가,,,,
말하였다,,,,
죽겠습니까,,,,
청하였다,,,,
상언(上言)하였다,,,,
것입니다,,,,
않습니다,,,,
하소서,,,,
말하였다,,,,
하라,,,,
"""",,,,
상언하였다,,,,
것입니다,,,,
하소서,,,,
허락하였다,,,,
전교(傳敎)하였다,,,,
것이다,,,,
내리리라,,,,
까닭이라,,,,
하라,,,,
못했다,,,,
한다,,,,
두려워하겠는가,,,,
잊겠는가,,,,
도우라,,,,
한다,,,,
하라,,,,
대답하였다,,,,
않겠습니까,,,,
하소서,,,,
말하였다,,,,
하소서,,,,
아뢰겠습니다,,,,
분부하였다,,,,
알리라,,,,
"""",,,,
아뢰었다,,,,
것입니다,,,,
하소서,,,,
따랐다,,,,
교유(敎諭)하였다,,,,
아닙니다,,,,
알리라,,,,
아뢰었다,,,,
합니다,,,,
말하였다,,,,
하라,,,,
"""",,,,
이러하였다,,,,
하라,,,,
하나이다,,,,
이루었습니다,,,,
돌아왔습니니다,,,,
돌아왔습니다,,,,
한다,,,,
못하겠노라,,,,
것입니다,,,,
시행하라,,,,
돌아왔습니다,,,,
줄이야,,,,
흐릅니다,,,,
유치(留置)시키겠습니까,,,,
생각합니다,,,,
없습니다,,,,
알았겠습니까,,,,
있었겠습니까,,,,
빌겠습니다,,,,
"""",,,,
아뢰었다,,,,
어렵습니다,,,,
교정하소서,,,,
따랐다,,,,
교유(敎諭)하였다,,,,
까닭이다,,,,
하라,,,,
"""",,,,
아뢰었다,,,,
하소서,,,,
따랐다,,,,
말하였다,,,,
말라,,,,
"""",,,,
상서(上書)하였다,,,,
않습니다,,,,
따랐다,,,,
장계하였다,,,,
일입니다,,,,
하소서,,,,
따랐다,,,,
장계(狀啓)하였다,,,,
무너졌습니다,,,,
것입니다,,,,
것입니다,,,,
하소서,,,,
따랐다,,,,
아뢰었다,,,,
됩니다,,,,
"""",,,,
하였다,,,,
이러하였다,,,,
돌아왔습니다,,,,
없습니다,,,,
"""",,,,
상언(上言)하였다,,,,
없습니다,,,,
것입니다,,,,
하소서,,,,
따랐다,,,,
장계하였다,,,,
하소서,,,,
말하였다,,,,
어떤가,,,,
하라,,,,
"""",,,,
못했다,,,,
꾸짖었다,,,,
경계해야겠다,,,,
"""",,,,
말하였다,,,,
태워버렸습니다,,,,
돌아가겠습니다,,,,
바쳤다,,,,
하였다,,,,
말하였다,,,,
없습니다,,,,
말하였다,,,,
보아라,,,,
물었다,,,,
못하냐,,,,
대답하였다,,,,
못합니다,,,,
말하였다,,,,
좋으냐,,,,
대답하였다,,,,
못하겠습니다,,,,
말하였다,,,,
것인가,,,,
못하였느냐,,,,
대답하였다,,,,
모릅니다,,,,
말하였다,,,,
했겠느냐,,,,
보아라,,,,
대답하였다,,,,
옮겼습니다,,,,
합니다,,,,
말하였다,,,,
알리라,,,,
일렀다,,,,
하였었다,,,,
까닭이다,,,,
하라,,,,
상서하였다,,,,
다음입니다,,,,
유숙하였다,,,,
말하였다,,,,
해결하리라,,,,
행차하였다,,,,
말하였다,,,,
일입니다,,,,
있겠습니까,,,,
곳입니다,,,,
있다,,,,
했습니다,,,,
아닙니다,,,,
같습니다,,,,
좋겠습니다,,,,
않았겠습니까,,,,
말하였다,,,,
않습니다,,,,
있겠습니까,,,,
합니다,,,,
있겠습니까,,,,
합니다,,,,
"""",,,,
말하였다,,,,
뿐입니다,,,,
것입니다,,,,
말씀드렸습니다,,,,
것입니다,,,,
없습니다,,,,
"""",,,,
말하였다,,,,
땅이라,,,,
하였습니다,,,,
것입니다,,,,
하라,,,,
임하라,,,,
‘무산(毋山)이라,,,,
것입니다,,,,
것입니다,,,,
한다,,,,
것입니다,,,,
의논하겠습니까,,,,
것입니다,,,,
생각합니다,,,,
"""",,,,
말하였다,,,,
"""1",,,,
아닙니다,,,,
1,,,,
모르겠습니다,,,,
위함이라,,,,
말하겠습니다,,,,
전하였습니다,,,,
대신하였습니다,,,,
아닙니다,,,,
됩니다,,,,
같았습니다,,,,
있습니다,,,,
1,,,,
하였습니다,,,,
없었겠습니까,,,,
아닙니다,,,,
1,,,,
있습니까,,,,
생각합니다,,,,
1,,,,
것입니다,,,,
1,,,,
말입니다,,,,
없겠습니까,,,,
하소서,,,,
"""",,,,
물었다,,,,
어떠냐,,,,
대답하였다,,,,
것뿐입니다,,,,
말하였다,,,,
없겠는가,,,,
곳이다,,,,
것이다,,,,
물었다,,,,
"""어떠냐",,,,
대답하였다,,,,
만합니다,,,,
결정하소서,,,,
말하였다,,,,
좋습니다,,,,
말하였다,,,,
못합니다,,,,
결정하였다,,,,
말하였다,,,,
근사합니다,,,,
말하였다,,,,
되겠는가,,,,
대답하였다,,,,
있습니다,,,,
유숙하였다,,,,
헌수(獻壽)하였다,,,,
미치겠는가,,,,
흘렸다,,,,
유숙하였다,,,,
말하였다,,,,
말인가,,,,
맞이하였다,,,,
아뢰었다,,,,
없습니다,,,,
바랍니다,,,,
따랐다,,,,
상신(上申)하였다,,,,
없었습니다,,,,
없었습니다,,,,
되었습니다,,,,
것입니다,,,,
합니다,,,,
하였다,,,,
상소하였다,,,,
것이겠습니까,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
하겠습니다,,,,
하옵니다,,,,
1,,,,
하라,,,,
말라,,,,
것입니다,,,,
본다,,,,
하였습니다,,,,
일입니다,,,,
같습니다,,,,
것입니다,,,,
1,,,,
사랑하라,,,,
말라,,,,
것입니다,,,,
감복하였습니다,,,,
하소서,,,,
1,,,,
비슷해졌습니다,,,,
유법(遺法)입니다,,,,
것입니다,,,,
아닙니다,,,,
있습니다,,,,
것입니다,,,,
것입니다,,,,
1,,,,
되었습니다,,,,
분분합니다,,,,
것입니다,,,,
1,,,,
논하였다,,,,
합니다,,,,
칭송하였습니다,,,,
참고하소서,,,,
것입니다,,,,
밝히소서,,,,
1,,,,
없습니다,,,,
시행하소서,,,,
1,,,,
없습니다,,,,
있습니다,,,,
경계하소서,,,,
1,,,,
좋아하였다,,,,
하였다,,,,
했습니다,,,,
것입니다,,,,
까닭입니다,,,,
마음입니다,,,,
마소서,,,,
1,,,,
것입니다,,,,
같습니다,,,,
있겠습니까,,,,
것입니다,,,,
1,,,,
직분입니다,,,,
뿐입니다,,,,
저버리겠습니까,,,,
있었습니다,,,,
것입니다,,,,
"""",,,,
상소하였다,,,,
뜻입니다,,,,
것입니다,,,,
자입니다,,,,
마소서,,,,
것입니다,,,,
살피소서,,,,
"""",,,,
분부하였다,,,,
보고하라,,,,
"""",,,,
이러하였다,,,,
말씀드리나이다,,,,
바입니다,,,,
흐릅니다,,,,
아니하였습니다,,,,
것입니다,,,,
기쁩니다,,,,
비나이다,,,,
바치었다,,,,
보고하였다,,,,
권장하소서,,,,
윤허하였다,,,,
아뢰었다,,,,
하소서,,,,
따랐다,,,,
이러하였다,,,,
돌아가라,,,,
계셨다,,,,
돌아왔다,,,,
합니다,,,,
두렵다,,,,
하옵소서,,,,
"""",,,,
잡혔다,,,,
것이다,,,,
대답하였다,,,,
다스려지오,,,,
마소서,,,,
것입니다,,,,
추라,,,,
추었다,,,,
파하였다,,,,
종헌(終獻)하였다,,,,
받았다,,,,
것이었다,,,,
드렸다,,,,
내렸다,,,,
이르노라,,,,
하라,,,,
한다,,,,
여겼노라,,,,
석방하라,,,,
아아,,,,
기록하노라,,,,
1,,,,
있다,,,,
하라,,,,
1,,,,
주라,,,,
일이다,,,,
썼겠는가,,,,
말라,,,,
하라,,,,
1,,,,
하라,,,,
하라,,,,
1,,,,
함이었다,,,,
바이다,,,,
하라,,,,
1,,,,
염려한다,,,,
하라,,,,
1,,,,
근원이다,,,,
염려된다,,,,
하라,,,,
환궁하였다,,,,
보았다,,,,
베풀었다,,,,
바이다,,,,
것이었다,,,,
않았다,,,,
하였다,,,,
올렸다,,,,
하였다,,,,
말하였다,,,,
곳입니다,,,,
합니다,,,,
없었습니다,,,,
주심이옵니다,,,,
하라,,,,
모시리라,,,,
하옵니다,,,,
삼가라,,,,
것이겠습니까,,,,
것입니다,,,,
말씀드립니다,,,,
강녕(康寧)입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
삼가하는구나,,,,
하는구나,,,,
했습니다,,,,
징험이옵니다,,,,
것입니다,,,,
전하리이다,,,,
했습니다,,,,
합니다,,,,
것입니다,,,,
법입니다,,,,
있겠습니까,,,,
것입니다,,,,
멀다,,,,
것이다,,,,
하리오,,,,
된다,,,,
것입니다,,,,
청합니다,,,,
이치입니다,,,,
일이겠습니까,,,,
않는다,,,,
하라,,,,
생긴다,,,,
하라,,,,
것이다,,,,
한다,,,,
바입니다,,,,
됩니다,,,,
없다,,,,
하겠는가,,,,
두텁다,,,,
이것입니다,,,,
되겠습니까,,,,
것입니다,,,,
한다,,,,
것입니다,,,,
한다,,,,
청하옵니다,,,,
것입니다,,,,
것입니다,,,,
한가지입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
"""",,,,
말하였다,,,,
하소서,,,,
"""",,,,
하였다,,,,
이러하였다,,,,
【휘(諱),,,,
추대하였습니다,,,,
하느냐,,,,
알리라,,,,
만하니,,,,
하였습니다,,,,
못하겠다,,,,
하옵소서,,,,
"""",,,,
이러하였다,,,,
아뢰라,,,,
"""",,,,
아뢰었다,,,,
합니다,,,,
옳겠습니다,,,,
따랐다,,,,
이첩(移牒)하였다,,,,
보고하라,,,,
"""",,,,
전교하였다,,,,
된다,,,,
하라,,,,
"""",,,,
상언(上言)하였다,,,,
하옵니다,,,,
것입니다,,,,
있겠습니까,,,,
어렵습니다,,,,
없습니다,,,,
고치겠습니까,,,,
하십니까,,,,
때입니다,,,,
것입니다,,,,
안정되었습니다,,,,
것입니다,,,,
막으소서,,,,
하소서,,,,
하였다,,,,
따랐다,,,,
상서(上書)하였다,,,,
하라,,,,
보라,,,,
하였습니다,,,,
것입니다,,,,
것입니다,,,,
있습니다,,,,
주달하겠습니까,,,,
하소서,,,,
말하였다,,,,
없다,,,,
하라,,,,
"""",,,,
아뢰었다,,,,
갔습니다,,,,
않느냐,,,,
하였습니다,,,,
아뢰었다,,,,
있느냐,,,,
유배시켰다,,,,
말하였다,,,,
하라,,,,
"""",,,,
보고하였다,,,,
99세입니다,,,,
이르렀습니다,,,,
하였다,,,,
참예하였다,,,,
지나친다,,,,
부끄럽다,,,,
대답하였다,,,,
것입니다,,,,
"""",,,,
말하였다,,,,
하라,,,,
"""",,,,
말하였다,,,,
하라,,,,
있었다,,,,
아뢰었다,,,,
것입니다,,,,
되겠습니다,,,,
하였다,,,,
탄핵하였다,,,,
하소서,,,,
말하였다,,,,
말라,,,,
"""",,,,
상소하였다,,,,
못하옵니다,,,,
주겠습니까,,,,
것입니다,,,,
윤허하였다,,,,
졸(卒)하였다,,,,
후손이다,,,,
계승하겠습니다,,,,
갔다,,,,
되었다,,,,
되었다,,,,
되었다,,,,
옮겼다,,,,
까닭이었다,,,,
74세였다,,,,
말하였다,,,,
없구나,,,,
칭찬하였다,,,,
훌륭하였다,,,,
말라,,,,
않았다,,,,
변계량(卞季良)이다,,,,
있다,,,,
이러하였다,,,,
것입니다,,,,
것입니다,,,,
없습니다,,,,
혁파하소서,,,,
말하였다,,,,
말라,,,,
"""",,,,
내리었다,,,,
때문이다,,,,
있겠는가,,,,
있다,,,,
바이다,,,,
아아,,,,
것이다,,,,
받을지어다,,,,
내리었다,,,,
것이다,,,,
한다,,,,
명시하였다,,,,
바이다,,,,
아아,,,,
있다하겠다,,,,
않으랴,,,,
받을지어다,,,,
"""",,,,
한다,,,,
보이었다,,,,
말하였다,,,,
지극합니다,,,,
것입니다,,,,
하소서,,,,
허락하였다,,,,
아뢰었다,,,,
편리하겠습니다,,,,
따랐다,,,,
상언(上言)하였다,,,,
것입니다,,,,
것입니다,,,,
충군(充軍)하소서,,,,
하소서,,,,
따랐다,,,,
하였다,,,,
없습니다,,,,
때문입니다,,,,
